action,address,city,company,county,date_close,date_start,extras,includes,jobs,link,reason,titles
Closure,,"Fennville, Michigan","Conagra Brands, Inc.",Allegan,,"June 27, 2025",Closure 2025 Allegan,,75,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-04-25_WARN-Notice_Conagra-Brands.pdf?rev=7a3c1d9b03e34a8ebb40be1194f0a449,,
Layoff,,Statewide,"Accelerate360 Distribution, LLC",Statewide,,"June 28, 2025",Layoff 2025 Statewide,,2 remote workers,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-04-25_WARN-Notice_Accerate360-Distribution-LLC.pdf?rev=ea04aef50c5d4eccb8ef0b980ec02613,,
Layoff,,"Detroit, Michigan","Aramark Campus, LLC",Wayne,,"June 30, 2025",Layoff 2025 Wayne,,137,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-04-28_WARN-Notice_Aramark-Campus-LLC.pdf?rev=478f145d5d08435b9a6f00a9b096ce21,,
Closure,,"Sturgis, Michigan","Heartland Recreational Vehicles, LLC",St. Joseph,,"June 20, 2025",Closure 2025 St Joseph,,121,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-04-22_WARN-Notice_Heartland-Recreational-Vehicles.pdf?rev=fc0b1bbcc67843b9b7039a2214c805e0,,
Layoff,,Statewide,United States Cellular Corporation,Statewide,,"June 2, 2025",Layoff 2025 Statewide,,12 remote workers,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-03-26_WARN-Notice_US-Cellular.pdf?rev=5eb64b634d19471d94a128c89b1621d0,,
Closure,,"Wixom, Michigan",Tribar Technologies,Oakland,,"June 8, 2025",WARN Notice -- Tribar Technologies (Spanish)!!!Updated Letter (4/10/25)!!!Closure 2025 Oakland,,188,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/Tribar-Technologies/2025-04-09_WARN-Notice_Tribar-Technologies_English.pdf?rev=60924e17798d4243bc101328cff43730,,
Layoff,,"Troy, Michigan","Flagstar Bank, N.A.",Oakland,,"June 8, 2025",Layoff 2025 Oakland,,40,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-04-09_WARN-Notice_Flagstar-Bank.pdf?rev=4a4acfe9b73c4429b8b3e96b7fdaaf91,,
Layoff,,"Ann Arbor, Michigan","Concordia University, Inc.",Washtenaw,,"May 31, 2025",Layoff 2025 Washtenaw,,41,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-03-31_WARN-Notice_Concordia-University-of-Ann-Arbor.pdf?rev=0a331395a2144f4cb9edf5b180e69215,,
Closure,,"Farmington Hills, Michigan","LNW Gaming, Inc.",Oakland,,"April 27, 2025",Closure 2025 Oakland,,92,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-01-25_WARN-Notice_LNW-Gaming-Inc.pdf?rev=9de70a989efd4524ab3a8e07fe1b7d2a,,
Layoff,,"Troy, Michigan","Flagstar Bank, N.A.",Oakland,,"April 22, 2025",Layoff 2025 Oakland,,424,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-02-21_WARN-Notice_Flagstar-Bank.pdf?rev=d9dc2eac0360493183893a860d785908,,
Closure,,"Flint, Michigan",Jack Cooper -- Flint,Genesee,,"February 8, 2025",Closure 2025 Genesee,,101,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-02-10_WARN-Notice_Jack-Cooper-Flint.pdf?rev=40325d0299814cf5a8399c483162a6f1,,
Closure,,"Detroit, Michigan","Sherwood Food Distributors, LLC; Harvest Meat Company Inc.; and Western Boxed Meat Inc.",Wayne,,"April 21, 2025",Closure 2025 Wayne,,255,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-02-18_WARN-Notice_Harvest-Sherwood.pdf?rev=80e36431bf774b058a4999da63e3ec47,,
Closure,,,"Akasol, Inc.",,,"April 14, 2025","City!!!County!!!Site 1!!!Hazel Park, Michigan!!!Oakland!!!Site 2!!!Warren, Michigan!!!Macomb!!!!!!!!!Closure 2025 Macomb Oakland",,188,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-02-11_WARN-Notice_Akasol.pdf?rev=19a7be9a59e9497d89e8fdbdc3e923f6,,
Closure,,"Dimondale, Michigan",Jack Cooper LLC,Eaton,,"February 8, 2025",Closure 2025 Eaton,,119,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-02-10_WARN-Notice_Jack-Cooper-LLC.pdf?rev=417cd5e017514e8aa451f8174f889bac,,
Layoff,,"Sandusky, Michigan",Vibracoustic USA Inc.,Sanilac,,"Beginning April 12, 2025",Layoff 2025 Sanilac,,18,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-02-11_WARN-Notice_Vibracoustic-USA-Inc.pdf?rev=40f07c1cd3c0498493bb56928cdaf140,,
Closure,,"Kalamazoo, Michigan",Evergreen Packaging LLC,Kalamazoo,,"April 11, 2025",Closure 2025 Kalamazoo,,153,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-02-07_WARN-Notice_Evergreen-Packaging-LLC.pdf?rev=58b3c5c5e71040fb980b07cc35a9e71e,,
Layoff,,"Birmingham, Michigan",McCann,Oakland,,"April 5, 2025",Layoff 2025 Oakland,,60,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-02-04_WARN-Notice_McCann.pdf?rev=09842079c7704485b8f520bc99eba478,,
Closure,,"Muskegon, Michigan","Michigan Spring & Stamping of Muskegon, LLC",Muskegon,,"March 14, 2025",Closure 2025 Muskegon,,116,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-01-13_WARN-Notice_Michigan-Spring-and-Stamping-of-Muskegon.pdf?rev=02e7f038fc3f4e4dbeb376a935c686b0,,
Closure,,"Chesaning, Michigan","Lippert Components, Inc.",Saginaw,,"April 4, 2025",Closure 2025 Saginaw,,159,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-02-03_WARN-Notice_Lippert-Components-Plant-96.pdf?rev=ea2f76abc8754cdab968d17bee530451,,
Closure,,"Troy, Michigan","US Farathane, LLC",Oakland,,"March 28, 2025",Closure 2025 Oakland,,180,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-01-27_WARN-Notice_US-Farathane-LLC.pdf?rev=819fb2c8314047428b064d840d1394f7,,
Closure,,"Sterling Heights, Michigan",Macy's -- Sterling Heights,Macomb,,"March 18, 2025",Closure 2025 Macomb,,117,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-01-23_-WARN-Notice_Macys-Lakeside-Store.pdf?rev=9e41082f74a540b18868d24eb86fbd82,,
Closure,,"Troy, Michigan",Macy's -- Troy,Oakland,,"March 18, 2025",Closure 2025 Oakland,,92,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-01-23_WARN-Notice_Macys-Oakland-Store.pdf?rev=7e2c5046ae164c13a6f210e02198d185,,
Closure,,"Caro, Michigan",SpartanNash,Tuscola,,"March 16, 2025",Closure 2025 Tuscola,,54,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-01-15_WARN-Notice_SpartanNash.pdf?rev=8610d83c8f5847cd8c79b59f5bc811b0,,
Closure,,"Wayne, Michigan","Jack Cooper Transport Company, LLC",Wayne,,"February 2, 2025",Closure 2025 Wayne,,89,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-01-10_WARN-Notice_Jack-Cooper-Transport-Company-LLC.pdf?rev=7413148c5e23443598c42355d3e1c97e,,
