Company,City,Affected Workers,Notice Received,Original Notice Type / Update Type,Layoff Begin Date,NAICS Description,CountyWorkforce Development Area
Pace Industries,Grafton,381,4/8/2020,WR,03/20/2020,Aluminum Die Casting Foundries,Ozaukee,WOW
Abercrombie & Fitch,"Appleton, La Crosse, Wauwatosa",123,4/8/2020,CL,04/12/2020,Family Clothing Stores,"La Crosse, Milwaukee, Outagamie","Bay Area, Milwaukee, Western"
Abercrombie & Fitch - Revision 1,La Crosse,28,6/26/2020,LS,07/04/2020,Family Clothing Stores,La Crosse,Western
Prospect International Airport Services Corp.,Milwaukee,48,4/8/2020,WR,04/22/2020,Other Airport Operations,Milwaukee,Milwaukee
American Greetings,Statewide,153,4/8/2020,WR,03/23/2020,All Other Support Services,Statewide,Statewide
Tetra PAK Processing Equipment Inc.,Windsor,39,4/9/2020,CL,07/03/2020,Food Product Machinery Mfg,Dane,South Central
Meetings and Incentives Worldwide Inc,Caledonia,15,4/9/2020,WR,03/05/2020,Convention & Trade Show Organizers,Racine,Southeast
Meetings and Incentives Worldwide Inc. - Revision 1,Caledonia,36,9/1/2020,AW,03/05/2020,Convention & Trade Show Organizers,Racine,Southeast
Server Products Inc,Richfield,53,4/9/2020,WR,03/30/2020,Other Com & Service Ind Machinery Mfg,Washington,WOW
Glacial Community YMCA,"Oconomowoc, Watertown",542,4/9/2020,WR,03/16/2020,Civic & Social Organizations,"Waukesha, Dodge","WOW, South Central"
Patientpop,Menasha,1,4/10/2020,WR,03/27/2020,Marketing Consulting Services,Winnebago,Fox Valley
"Hooters of America, LLC","Madison, Brookfield",61,4/10/2020,WR,03/16/2020,Full-service restaurants,"Dane, Waukesha","South Central, WOW"
Scholastic,Milwaukee,53,4/13/2020,WR,03/18/2020,Book & Periodical Merch Whls,Milwaukee,Milwaukee
Safran Aerosystems Services Americas LLC,Menomonee Falls,29,4/13/2020,WR,04/14/2020,Other Elect Equip Repair,Waukesha,WOW
Nordstrom Inc.,"Madison, Wauwatosa",218,4/14/2020,WR,04/05/2020,Deparment Stores,"Dane, Milwaukee","South Central, Milwaukee"
YMCA of Northern Rock County,"Janesville, Milton",142,4/14/2020,WR,03/27/2020,Civic & Social Organizations,Rock,Southwest
"Bars & Recreation, Inc.",Milwaukeee,38,4/14/2020,WR,03/30/2020,Drinking Places Alcoholic Beverages,Milwaukee,Milwaukee
LSC Communications,Baraboo,393,4/15/2020,WR,04/20/2020,Commercial Gravure Printing,Sauk,South Central
LSC Communications - Revision 1,Baraboo,393,6/24/2020,LS,08/24/2020,Commercial Gravure Printing,Sauk,South Central
Ashley Furniture Industries Inc.,Whitehall,70,4/16/2020,WR,04/16/2020,Upholstered Household Furn Mfg,Trempealeau,Western
Milwaukee Center for Independence,Milwaukee,128,4/17/2020,WR,04/30/2020,Other Individual & Family Services,Milwaukee,Milwaukee
The Finish Line,"Green Bay, Greendale, Janesville, Johnson Creek, Madison, Racine, Wauwatosa",131,4/17/2020,WR,04/12/2020,Shoe Stores,"Brown, Dane, Jefferson, Milwaukee, Racine, Rock","Bay Area, Milwaukee, South Central, Southeast, Southwest"
The Finish Line Macy's,Wauwatosa,3,4/17/2020,WR,04/02/2020,Shoe Stores,Milwaukee,Milwaukee
Baker Manufacturing Company LLC,Evansville,49,4/17/2020,WR,04/20/2020,Other Com & Service Ind Machinery Mfg,Rock,Southwest
Goodwill,"Ashland, Superior",20,4/20/2020,WR,04/16/2020,Used Merchandise Stores,"Ashland, Douglas",Northwest
YMCA of the Fox Cities,"Appleton, Greenville, Kimberly, Neenah",1546,4/20/2020,WR,03/16/2020,Civic & Social Organizations,"Outagamie, Winnebago","Bay Area, Fox Valley"
Emmi Roth,Seymour,32,4/21/2020,WR,04/13/2020,Cheese Mfg,Outagamie,Bay Area
Great Lakes Specialty Finance Inc.,"Wautoma, Portage, Delevan, Milwaukee, Sheboygan, Madison, Appleton, Fond du Lac, Beloit, Janesville, West Bend, Green Bay, Eau Claire, Wausau, Marinette, Hudson, Racine, Marshfield, Superior, Shawano",28,4/21/2020,WR,05/01/2020,Consumer Lending,"Waushara, Columbia, Walworth, Milwaukee, Sheboygan, Dane, Outagamie, Fond du Lac, Rock, Washington, Brown, Eau Claire, Marathon, Marinette, St. Croix, Racine, Shawano","Southeast, Milwaukee, WOW, Fox Valley, Bay Area, North Central, Northwest, West Central, South Central, Southwest"
Hutchinson Technology Inc.,Eau Claire,110,4/21/2020,WR,05/28/2020,Computer Storage Device Mfg,Eau Claire,West Central
